numero_expedient,codi_districte,nom_districte,nom_barri,nom_carrer,nk_any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_dia_setmana,descripcio_torn,descripcio_causa_vianant,numero_morts,numero_lesionats_lleus,numero_lesionats_greus,numero_victimes,numero_vehicles_implicats,longitud,latitud,fichero_origen,es_causa_vianant,fecha,dia_semana,fin_de_semana,franja_horaria,total_lesionados,gravedad,accidente_con_victimas
2019S000001,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Diagonal / Augusta,2019,1,Gener,1,1,Dimarts,Nit,No és causa del vianant,0,0,1,1,1,2.155235500887906,41.395744325388286,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Madrugada (00-06h),1,Grave,TRUE
2019S000002,9,Sant Andreu,el Congrés i els Indians,Felip II / Congrés Eucarístic,2019,1,Gener,1,4,Dimarts,Nit,No és causa del vianant,0,1,0,1,2,2.1799900375572765,41.42536054141721,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Madrugada (00-06h),1,Leve,TRUE
2019S000003,10,Sant Martí,el Parc i la Llacuna del Poblenou,Pallars,2019,1,Gener,1,5,Dimarts,Nit,Creuar per fora pas de vianants,0,1,0,1,1,2.191711612909555,41.39688727978747,2019_accidents_gu_bcn.csv,TRUE,2019-01-01,martes,Laborable,Madrugada (00-06h),1,Leve,TRUE
2019S000004,6,Gràcia,el Camp d'en Grassot i Gràcia Nova,Taxdirt / Nogués,2019,1,Gener,1,8,Dimarts,Matí,No és causa del vianant,0,1,0,1,2,2.1654291811887534,41.408771891005635,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000005,2,Eixample,la Dreta de l'Eixample,Consell de Cent / Girona,2019,1,Gener,1,12,Dimarts,Matí,No és causa del vianant,0,2,0,2,1,2.1704404950723446,41.39488422933501,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Tarde (12-18h),2,Leve,TRUE
2019S000006,6,Gràcia,el Camp d'en Grassot i Gràcia Nova,Còrsega,2019,1,Gener,1,7,Dimarts,Matí,No és causa del vianant,0,1,0,1,2,2.166987222352102,41.402520884569455,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000007,2,Eixample,la Dreta de l'Eixample,Aragó / Balmes,2019,1,Gener,1,13,Dimarts,Matí,No és causa del vianant,0,1,0,1,6,2.1617865831937775,41.39017602884647,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Tarde (12-18h),1,Leve,TRUE
2019S000008,2,Eixample,la Dreta de l'Eixample,Mossèn Jacint Verdaguer,2019,1,Gener,1,13,Dimarts,Matí,No és causa del vianant,0,1,0,1,2,2.1698407582411785,41.399084019498055,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Tarde (12-18h),1,Leve,TRUE
2019S000009,10,Sant Martí,la Vila Olímpica del Poblenou,Joan Miró / Doctor Trueta,2019,1,Gener,1,10,Dimarts,Matí,No és causa del vianant,0,0,0,0,1,2.1934637472779257,41.39131083446776,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Manana (06-12h),0,Leve,FALSE
2019S000010,2,Eixample,el Fort Pienc,Lepant / Alí Bei,2019,1,Gener,1,18,Dimarts,Tarda,No és causa del vianant,0,1,0,1,2,2.185806008145173,41.39723277922404,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Noche (18-24h),1,Leve,TRUE
2019S000011,7,Horta-Guinardó,la Font d'en Fargues,Maragall,2019,1,Gener,1,19,Dimarts,Tarda,No és causa del vianant,0,1,0,1,2,2.171438986400508,41.42664055897249,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Noche (18-24h),1,Leve,TRUE
2019S000012,2,Eixample,l'Antiga Esquerra de l'Eixample,Consell de Cent / Comte d'Urgell,2019,1,Gener,1,13,Dimarts,Matí,No és causa del vianant,0,1,0,1,2,2.1564843833049467,41.38410933764182,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Tarde (12-18h),1,Leve,TRUE
2019S000013,10,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda,2019,1,Gener,1,21,Dimarts,Tarda,No és causa del vianant,0,1,0,1,2,2.2105249148189725,41.40231984921424,2019_accidents_gu_bcn.csv,FALSE,2019-01-01,martes,Laborable,Noche (18-24h),1,Leve,TRUE
2019S000014,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Muntaner / Copèrnic,2019,1,Gener,2,0,Dimecres,Nit,No és causa del vianant,0,1,0,1,2,2.140213408603412,41.40092183161157,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Madrugada (00-06h),1,Leve,TRUE
2019S000015,7,Horta-Guinardó,Horta,Dante Alighieri,2019,1,Gener,2,3,Dimecres,Nit,No és causa del vianant,0,0,0,0,3,2.1607054589955177,41.42889043337292,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Madrugada (00-06h),0,Leve,FALSE
2019S000016,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,General Mitre / Prats de Molló,2019,1,Gener,2,7,Dimecres,Matí,No és causa del vianant,0,1,0,1,3,2.136445500446669,41.40128020989718,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000017,4,Les Corts,la Maternitat i Sant Ramon,Diagonal,2019,1,Gener,2,8,Dimecres,Matí,No és causa del vianant,0,1,0,1,2,2.1169334936415125,41.38537024656697,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000018,4,Les Corts,Pedralbes,Diagonal / Albert Bastardas,2019,1,Gener,2,9,Dimecres,Matí,No és causa del vianant,0,3,0,3,2,2.1066333769319554,41.38324046945794,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),3,Leve,TRUE
2019S000019,8,Nou Barris,Porta,Fabra i Puig,2019,1,Gener,2,9,Dimecres,Matí,No és causa del vianant,0,1,0,1,3,2.175130592910162,41.430454230833206,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000020,3,Sants-Montjuïc,la Bordeta,Corts Catalanes,2019,1,Gener,2,10,Dimecres,Matí,No és causa del vianant,0,1,0,1,2,2.1393086634492886,41.3680642167219,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000021,10,Sant Martí,la Verneda i la Pau,Santander,2019,1,Gener,2,10,Dimecres,Matí,No és causa del vianant,0,2,0,2,2,2.2012244862669883,41.42702074326753,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),2,Leve,TRUE
2019S000022,8,Nou Barris,Porta,Pintor Alsamora / Selva,2019,1,Gener,2,10,Dimecres,Matí,Altres,0,1,0,1,1,2.175557399123793,41.43635512286258,2019_accidents_gu_bcn.csv,TRUE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000023,3,Sants-Montjuïc,la Bordeta,Cadena,2019,1,Gener,2,8,Dimecres,Matí,No és causa del vianant,0,1,0,1,2,2.1356187056775475,41.36744630039471,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),1,Leve,TRUE
2019S000024,7,Horta-Guinardó,el Baix Guinardó,Lepant / Llorens i Barba,2019,1,Gener,2,10,Dimecres,Matí,No és causa del vianant,0,2,0,2,2,2.1681384902819265,41.4105924485912,2019_accidents_gu_bcn.csv,FALSE,2019-01-02,miércoles,Laborable,Manana (06-12h),2,Leve,TRUE
