variable,tipo_R,n_unicos,n_NA,pct_NA
numero_expedient,character,54928,0,0
codi_districte,integer,11,232,0.42
nom_districte,factor,11,232,0.42
nom_barri,factor,75,232,0.42
nom_carrer,character,6031,1,0
nk_any,integer,7,0,0
mes_any,integer,12,0,0
nom_mes,character,12,0,0
dia_mes,integer,31,0,0
hora_dia,integer,24,0,0
descripcio_dia_setmana,character,7,0,0
descripcio_torn,ordered,3,0,0
descripcio_causa_vianant,character,8,0,0
numero_morts,integer,2,0,0
numero_lesionats_lleus,integer,18,0,0
numero_lesionats_greus,integer,6,0,0
numero_victimes,integer,18,0,0
numero_vehicles_implicats,integer,17,0,0
longitud,numeric,33081,42,0.08
latitud,numeric,31447,42,0.08
fichero_origen,character,7,0,0
es_causa_vianant,logical,2,0,0
fecha,Date,2555,0,0
dia_semana,ordered,7,0,0
fin_de_semana,factor,2,0,0
franja_horaria,ordered,4,0,0
total_lesionados,integer,18,0,0
gravedad,ordered,3,0,0
accidente_con_victimas,logical,2,0,0
